3,2,3,79,0,1,0,2,0,1,2,0,1,1,2,0,1,0,3,3,2,2,1
1,1,2,73,0,1,0,1,0,1,3,0,1,1,3,1,1,1,1,4,3,4,1
1,2,4,69,0,1,0,2,0,1,1,0,0,1,1,0,0,0,3,2,3,4,1
4,3,4,89,0,1,0,2,1,1,4,0,1,1,3,0,0,0,2,1,2,3,1
2,1,3,137,0,1,0,2,0,0,2,0,1,0,3,0,0,1,4,3,4,2,0
2,3,3,71,0,1,0,1,0,1,3,0,1,1,2,0,1,1,4,4,2,2,1
1,1,1,86,0,1,0,2,0,1,4,0,1,1,2,0,0,0,2,1,4,2,0
2,2,3,69,0,1,1,1,0,0,1,0,0,0,1,0,1,1,3,4,4,2,0
1,1,4,67,0,1,0,2,0,1,4,1,1,1,1,0,1,1,4,3,4,1,0
1,3,3,93,0,1,0,2,0,0,3,0,1,1,3,1,1,1,3,2,4,4,0
3,2,4,79,0,0,0,2,0,0,2,0,1,0,1,0,1,1,4,4,4,4,0
3,2,3,68,0,1,0,2,0,0,1,0,1,0,1,0,1,0,1,3,2,2,0
2,3,1,76,0,1,0,2,0,1,4,0,1,0,3,0,0,0,2,2,4,1,0
1,3,1,77,0,1,0,2,0,1,3,0,1,1,3,0,1,1,4,1,3,4,1
3,3,2,65,0,1,0,2,0,0,1,1,1,0,1,0,1,0,4,3,2,3,1
4,2,1,73,0,1,0,2,0,1,4,0,1,1,3,0,1,0,2,4,4,4,0
2,3,2,71,0,1,0,1,0,1,4,0,1,1,2,0,1,0,1,2,4,3,0
2,3,1,72,0,1,0,1,0,0,1,0,1,0,1,0,1,0,3,3,3,3,0
4,1,3,85,0,1,0,2,0,0,2,0,1,0,1,1,1,0,4,4,1,2,0
1,2,3,70,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,4,1,1,0
2,2,4,77,0,1,0,2,0,0,1,0,1,0,1,0,0,0,2,2,2,4,0
3,2,2,54,0,0,0,2,0,0,1,0,1,0,1,0,0,1,3,4,3,3,0
4,3,3,69,1,1,0,2,0,1,3,0,1,0,3,0,1,1,4,3,4,1,0
2,2,1,75,0,1,0,2,0,1,1,0,1,1,3,0,0,1,4,3,2,1,1
2,3,2,88,0,0,0,2,0,1,2,1,1,0,1,0,1,0,2,2,4,4,0
4,2,3,67,1,1,1,2,0,1,2,1,1,1,1,0,1,0,2,1,1,3,0
4,3,4,94,0,1,0,2,0,1,4,0,1,0,2,0,1,0,4,3,3,1,0
1,3,4,68,0,1,0,2,0,1,3,0,0,1,1,0,1,0,3,1,4,3,1
4,3,4,72,0,1,0,1,0,0,3,1,1,0,1,0,1,0,2,1,2,4,1
3,1,1,70,0,1,0,2,0,0,2,1,1,0,1,0,1,0,4,3,1,1,0
3,2,3,74,0,1,0,2,0,1,1,0,1,1,3,0,0,0,2,4,1,4,0
4,3,3,85,0,0,0,2,0,1,3,0,1,1,2,0,1,0,2,3,1,1,0
1,3,4,75,0,1,0,2,0,0,1,0,1,0,1,0,1,0,3,2,1,2,0
1,3,3,79,0,1,0,2,0,1,3,0,1,1,3,0,1,0,1,3,1,1,0
4,3,3,47,0,0,0,2,0,1,3,0,1,1,3,0,0,0,1,3,4,4,0
2,3,3,61,0,1,0,2,0,0,1,1,1,0,1,0,1,0,4,4,3,2,0
1,1,1,94,0,1,0,2,0,1,4,0,1,0,3,0,0,0,4,4,4,3,1
3,2,3,68,0,1,0,1,0,0,2,0,1,0,1,0,1,0,2,4,4,4,1
2,3,3,64,0,0,0,1,0,1,4,0,1,1,2,0,1,0,2,1,4,3,1
3,3,1,78,0,0,1,1,0,0,2,0,1,0,1,0,1,0,4,1,3,1,0
2,1,1,66,0,0,0,2,0,0,1,1,1,0,1,0,0,1,3,2,2,1,1
3,3,4,70,0,0,0,2,0,1,4,1,1,1,3,0,1,1,3,1,1,4,0
2,3,1,66,0,1,0,2,0,1,4,0,1,1,2,0,0,0,3,3,1,2,1
1,3,1,69,0,1,0,2,0,1,4,0,1,1,3,0,1,0,1,1,4,1,1
2,3,1,81,0,1,0,2,0,1,2,0,1,1,1,0,1,0,1,3,4,3,0
2,2,3,68,0,1,0,2,0,1,3,0,1,1,3,0,0,0,2,1,1,3,0
1,2,4,73,0,1,0,1,0,0,4,1,1,1,3,0,1,0,2,4,1,2,0
4,3,4,89,0,1,0,2,0,1,4,0,1,1,3,0,1,0,1,2,3,2,1
1,3,1,67,0,1,1,1,0,1,2,1,1,1,3,1,1,0,4,3,2,3,0
1,3,4,88,0,1,1,2,0,1,4,0,1,1,3,0,1,0,4,1,4,2,1
3,3,3,72,0,1,0,2,0,0,2,0,1,0,1,0,0,0,4,4,3,4,0
4,3,3,73,0,1,0,2,0,1,3,0,1,1,3,0,1,0,2,2,3,1,0
1,3,4,68,0,1,0,2,0,1,4,0,0,1,3,1,1,0,2,1,4,3,0
2,3,1,82,0,0,0,1,0,1,1,0,1,1,1,0,1,1,3,4,2,1,0
4,3,1,72,0,0,0,2,0,0,2,1,1,0,1,0,1,0,2,3,1,4,0
3,2,1,66,0,0,0,2,0,0,1,0,1,0,1,0,1,0,4,3,4,2,0
3,1,3,70,0,0,0,2,0,1,4,0,0,1,2,0,0,0,3,1,3,2,1
2,3,3,59,0,0,0,1,1,1,4,0,1,1,3,0,1,1,1,2,4,4,1
4,3,1,67,0,1,0,2,0,1,4,0,1,1,3,0,1,0,4,3,3,4,1
4,3,1,75,0,1,0,2,0,0,3,1,1,0,1,1,0,0,3,1,2,4,1
3,2,2,84,0,1,0,2,0,0,2,1,1,0,1,0,1,0,3,4,2,4,0
4,3,2,77,0,1,0,2,0,1,3,0,1,1,1,0,1,1,1,3,2,4,0
4,3,3,51,0,0,1,1,0,1,2,0,1,1,2,0,1,0,1,2,3,4,1
2,3,4,73,0,1,0,2,0,1,4,0,1,1,3,0,1,0,2,2,2,2,0
4,1,1,109,0,1,0,2,0,0,1,0,1,0,1,0,1,0,1,4,2,2,0
2,1,2,80,0,1,1,2,0,1,3,0,1,0,3,0,1,0,3,3,1,2,0
2,1,2,79,0,1,0,2,0,0,1,0,1,0,1,0,0,0,4,2,3,1,0
4,1,2,64,0,1,0,2,0,1,3,0,1,1,3,0,0,1,4,1,2,4,0
3,2,3,76,0,1,0,1,0,0,4,0,1,1,1,0,1,0,1,1,1,2,0
